name,proportion,energy_source
Albania,0.02,Gas
Jamaica,0.06,Gas
Malta,0.08,Gas
El Salvador,0,Gas
Dem. Rep. Congo,0,Gas
Senegal,0.01,Gas
Yemen,0.14,Gas
Zimbabwe,0,Gas
Nepal,0,Gas
Lithuania,0.6,Gas
Cambodia,0,Gas
Cameroon,0.23,Gas
Armenia,0.59,Gas
Zambia,0,Gas
Brunei ,0.82,Gas
Honduras,0,Gas
Afghanistan,0.04,Gas
Côte d'Ivoire,0.46,Gas
Luxembourg,0.17,Gas
Iceland,0,Gas
Mongolia,0,Gas
Tajikistan,0,Gas
Gibraltar,0,Gas
Costa Rica,0,Gas
Latvia,0.24,Gas
Uruguay,0.01,Gas
Kyrgyzstan,0.03,Gas
Georgia,0.34,Gas
Puerto Rico,0.18,Gas
Bosnia and Herzegovina,0.03,Gas
Ghana,0.17,Gas
Tanzania,0.4,Gas
Kenya,0,Gas
Guatemala,0,Gas
Slovenia,0.11,Gas
Mozambique,0.25,Gas
Croatia,0.27,Gas
Dominican Republic,0.13,Gas
Ethiopia,0,Gas
Bolivia,0.34,Gas
Lebanon,0,Gas
North Korea,0,Gas
Sudan,0,Gas
Angola,0.08,Gas
Syria,0.35,Gas
Sri Lanka,0,Gas
Panama,0,Gas
Paraguay,0,Gas
Jordan,0.36,Gas
Tunisia,0.48,Gas
Myanmar,0.32,Gas
Cuba,0.1,Gas
Laos,0,Gas
Ireland,0.31,Gas
Libya,0.29,Gas
Azerbaijan,0.64,Gas
Ecuador,0.02,Gas
Morocco,0.06,Gas
Bulgaria,0.16,Gas
Slovakia,0.24,Gas
Denmark,0.17,Gas
New Zealand,0.21,Gas
Trinidad and Tobago,0.87,Gas
Serbia,0.15,Gas
Bahrain,0.82,Gas
Israel,0.34,Gas
Hungary,0.36,Gas
Belarus,0.67,Gas
Hong Kong,0.09,Gas
Greece,0.16,Gas
Oman,0.69,Gas
Portugal,0.22,Gas
Finland,0.07,Gas
Peru,0.28,Gas
Switzerland,0.11,Gas
Nigeria,0.41,Gas
Austria,0.23,Gas
Chile,0.13,Gas
Romania,0.29,Gas
Bangladesh,0.77,Gas
Uzbekistan,0.86,Gas
Colombia,0.2,Gas
Czech Republic,0.18,Gas
Kuwait,0.5,Gas
Turkmenistan,0.83,Gas
Venezuela,0.37,Gas
Sweden,0.01,Gas
Qatar,0.72,Gas
Iraq,0.05,Gas
Philippines,0.06,Gas
Algeria,0.65,Gas
Belgium,0.23,Gas
Norway,0.08,Gas
Pakistan,0.43,Gas
Vietnam,0.09,Gas
Italy,0.4,Gas
Indonesia,0.23,Gas
United Kingdom,0.36,Gas
Mexico,0.36,Gas
Saudi Arabia,0.37,Gas
Brazil,0.1,Gas
France,0.16,Gas
South Korea,0.15,Gas
Iran,0.67,Gas
Germany,0.24,Gas
Canada,0.31,Gas
Russia,0.52,Gas
United States,0.29,Gas
Japan,0.25,Gas
India,0.07,Gas
Antigua and Barbuda,0,Gas
Singapore,0,Coal
Poland,0.53,Coal
Argentina,0.01,Coal
Netherlands,0.1,Coal
Kazakhstan,0.64,Coal
Malaysia,0.2,Coal
United Arab Emirates,0.02,Coal
Ukraine,0.29,Coal
Egypt,0.02,Coal
Thailand,0.12,Coal
China,0.63,Coal
Turkey,0.26,Coal
Taiwan,0.3,Coal
Australia,0.29,Coal
Falkland Islands,0,Coal
Spain,0.08,Coal
Kiribati,0,Coal
Tonga,0,Coal
South Africa,0.7,Coal
Saint Pierre & Miquelon,0,Coal
St. Vincent & Grenadines,0,Coal
Sao Tome & Principe,0,Coal
Cook Islands,0,Coal
British Virgin Islands,0,Coal
Western Sahara,0,Coal
Comoros,0,Coal
Saint Kitts & Nevis,0,Coal
Turks and Caicos,0,Coal
Vanuatu,0,Coal
Dominica,0,Coal
Chad,0,Coal
Grenada,0,Coal
Burundi,0,Coal
Guinea-Bissau,0,Coal
Solomon Islands,0,Coal
Central African Republic,0,Coal
Saint Lucia,0,Coal
Gambia,0,Coal
Eritrea,0,Coal
Samoa,0,Coal
Bermuda,0,Coal
Cayman Islands,0,Coal
Timor-Leste,0,Coal
Djibouti,0,Coal
Somalia,0,Coal
Faeroe Islands,0,Coal
French Polynesia,0,Coal
Lesotho,0,Coal
Belize,0,Coal
Cabo Verde,0,Coal
Seychelles,0,Coal
Sierra Leone,0,Coal
Greenland,0,Coal
French Guiana,0,Coal
Rwanda,0,Coal
Liberia,0,Coal
Eswatini,0.16,Coal
Maldives,0,Coal
Aruba,0,Coal
Guadeloupe,0,Coal
Malawi,0.07,Coal
Barbados,0,Coal
Guyana,0,Coal
Niger,0.16,Coal
Guam,0,Coal
Martinique,0,Coal
Fiji,0,Coal
U.S. Virgin Islands,0,Coal
Suriname,0,Coal
Togo,0.08,Coal
Montenegro,0.29,Coal
Mauritania,0,Coal
Bahamas,0,Coal
Guinea,0,Coal
Réunion,0,Coal
Haiti,0,Coal
Madagascar,0.16,Coal
Mali,0,Coal
Burkina Faso,0,Coal
State of Palestine,0,Coal
Gabon,0,Coal
Macao,0,Coal
Bhutan,0.02,Coal
Estonia,0.01,Coal
Mauritius,0.21,Coal
Namibia,0,Coal
New Caledonia,0.38,Coal
Equatorial Guinea,0,Coal
Uganda,0,Coal
Benin,0.03,Coal
Macedonia,0.35,Coal
Congo,0,Coal
Nicaragua,0,Coal
Botswana,0.5,Coal
Papua New Guinea,0,Coal
Cyprus,0,Coal
Moldova,0.04,Coal
Albania,0.02,Coal
Jamaica,0.02,Coal
Malta,0,Coal
El Salvador,0,Coal
Dem. Rep. Congo,0,Coal
Senegal,0.11,Coal
Yemen,0.06,Coal
Zimbabwe,0.41,Coal
Nepal,0.04,Coal
Lithuania,0.04,Coal
Cambodia,0.23,Coal
Cameroon,0,Coal
Armenia,0,Coal
Zambia,0.03,Coal
Brunei ,0,Coal
Honduras,0,Coal
Afghanistan,0.32,Coal
Côte d'Ivoire,0,Coal
Luxembourg,0.01,Coal
Iceland,0.02,Coal
Mongolia,0.7,Coal
Tajikistan,0.16,Coal
Gibraltar,0,Coal
Costa Rica,0,Coal
Latvia,0.01,Coal
Uruguay,0,Coal
Kyrgyzstan,0.16,Coal
Georgia,0.03,Coal
Puerto Rico,0.07,Coal
Bosnia and Herzegovina,0.61,Coal
Ghana,0,Coal
Tanzania,0.03,Coal
Kenya,0.03,Coal
Guatemala,0.16,Coal
Slovenia,0.16,Coal
Mozambique,0,Coal
Croatia,0.04,Coal
Dominican Republic,0.08,Coal
Ethiopia,0.04,Coal
Bolivia,0,Coal
Lebanon,0.01,Coal
North Korea,0.55,Coal
Sudan,0,Coal
Angola,0,Coal
Syria,0,Coal
Sri Lanka,0.16,Coal
Panama,0.02,Coal
Paraguay,0,Coal
Jordan,0.01,Coal
Tunisia,0,Coal
Myanmar,0.01,Coal
Cuba,0,Coal
Laos,0.66,Coal
Ireland,0.07,Coal
Libya,0,Coal
Azerbaijan,0,Coal
Ecuador,0,Coal
Morocco,0.17,Coal
Bulgaria,0.33,Coal
Slovakia,0.18,Coal
Denmark,0.08,Coal
New Zealand,0.05,Coal
Trinidad and Tobago,0,Coal
Serbia,0.5,Coal
Bahrain,0,Coal
Israel,0.19,Coal
Hungary,0.1,Coal
Belarus,0.01,Coal
Hong Kong,0.2,Coal
Greece,0.17,Coal
Oman,0,Coal
Portugal,0.12,Coal
Finland,0.09,Coal
Peru,0.01,Coal
Switzerland,0,Coal
Nigeria,0,Coal
Austria,0.06,Coal
Chile,0.19,Coal
Romania,0.15,Coal
Bangladesh,0.04,Coal
Uzbekistan,0.04,Coal
Colombia,0.11,Coal
Czech Republic,0.38,Coal
Kuwait,0,Coal
Turkmenistan,0,Coal
Venezuela,0,Coal
Sweden,0.03,Coal
Qatar,0,Coal
Iraq,0,Coal
Philippines,0.36,Coal
Algeria,0,Coal
Belgium,0.04,Coal
Norway,0.01,Coal
Pakistan,0.07,Coal
Vietnam,0.43,Coal
Italy,0.06,Coal
Indonesia,0.28,Coal
United Kingdom,0.05,Coal
Mexico,0.06,Coal
Saudi Arabia,0,Coal
Brazil,0.05,Coal
France,0.04,Coal
South Korea,0.28,Coal
Iran,0,Coal
Germany,0.21,Coal
Canada,0.04,Coal
Russia,0.15,Coal
United States,0.14,Coal
Japan,0.24,Coal
India,0.55,Coal
Antigua and Barbuda,0,Coal
Singapore,0,Nuclear/Renewable
Poland,0.01,Nuclear/Renewable
Argentina,0.13,Nuclear/Renewable
Netherlands,0.05,Nuclear/Renewable
Kazakhstan,0.03,Nuclear/Renewable
Malaysia,0.07,Nuclear/Renewable
United Arab Emirates,0,Nuclear/Renewable
Ukraine,0.27,Nuclear/Renewable
Egypt,0.04,Nuclear/Renewable
Thailand,0.07,Nuclear/Renewable
China,0.12,Nuclear/Renewable
Turkey,0.13,Nuclear/Renewable
Taiwan,0.07,Nuclear/Renewable
Australia,0.06,Nuclear/Renewable
Falkland Islands,1,Nuclear/Renewable
Spain,0.24,Nuclear/Renewable
Kiribati,1,Nuclear/Renewable
Tonga,0,Nuclear/Renewable
South Africa,0.04,Nuclear/Renewable
Saint Pierre & Miquelon,0.5,Nuclear/Renewable
St. Vincent & Grenadines,0,Nuclear/Renewable
Sao Tome & Principe,0.09,Nuclear/Renewable
Cook Islands,0.52,Nuclear/Renewable
British Virgin Islands,0.06,Nuclear/Renewable
Western Sahara,0,Nuclear/Renewable
Comoros,0,Nuclear/Renewable
Saint Kitts & Nevis,0.06,Nuclear/Renewable
Turks and Caicos,0.07,Nuclear/Renewable
Vanuatu,0.19,Nuclear/Renewable
Dominica,0.15,Nuclear/Renewable
Chad,0.1,Nuclear/Renewable
Grenada,0.04,Nuclear/Renewable
Burundi,0.43,Nuclear/Renewable
Guinea-Bissau,0.05,Nuclear/Renewable
Solomon Islands,0.09,Nuclear/Renewable
Central African Republic,0.24,Nuclear/Renewable
Saint Lucia,0.07,Nuclear/Renewable
Gambia,0,Nuclear/Renewable
Eritrea,0.04,Nuclear/Renewable
Samoa,0.09,Nuclear/Renewable
Bermuda,0.01,Nuclear/Renewable
Cayman Islands,0,Nuclear/Renewable
Timor-Leste,0,Nuclear/Renewable
Djibouti,0.01,Nuclear/Renewable
Somalia,0.05,Nuclear/Renewable
Faeroe Islands,0.18,Nuclear/Renewable
French Polynesia,0.1,Nuclear/Renewable
Lesotho,0.39,Nuclear/Renewable
Belize,0.36,Nuclear/Renewable
Cabo Verde,0.06,Nuclear/Renewable
Seychelles,0,Nuclear/Renewable
Sierra Leone,0.06,Nuclear/Renewable
Greenland,0.28,Nuclear/Renewable
French Guiana,0.36,Nuclear/Renewable
Rwanda,0.19,Nuclear/Renewable
Liberia,0,Nuclear/Renewable
Eswatini,0.32,Nuclear/Renewable
Maldives,0.01,Nuclear/Renewable
Aruba,0.06,Nuclear/Renewable
Guadeloupe,0.07,Nuclear/Renewable
Malawi,0.57,Nuclear/Renewable
Barbados,0.04,Nuclear/Renewable
Guyana,0.01,Nuclear/Renewable
Niger,0.07,Nuclear/Renewable
Guam,0.03,Nuclear/Renewable
Martinique,0.02,Nuclear/Renewable
Fiji,0.13,Nuclear/Renewable
U.S. Virgin Islands,0,Nuclear/Renewable
Suriname,0.25,Nuclear/Renewable
Togo,0.16,Nuclear/Renewable
Montenegro,0.32,Nuclear/Renewable
Mauritania,0.1,Nuclear/Renewable
Bahamas,0.01,Nuclear/Renewable
Guinea,0.22,Nuclear/Renewable
Réunion,0.21,Nuclear/Renewable
Haiti,0.01,Nuclear/Renewable
Madagascar,0.16,Nuclear/Renewable
Mali,0.22,Nuclear/Renewable
Burkina Faso,0.08,Nuclear/Renewable
State of Palestine,0.3,Nuclear/Renewable
Gabon,0.13,Nuclear/Renewable
Macao,0.27,Nuclear/Renewable
Bhutan,0.89,Nuclear/Renewable
Estonia,0.11,Nuclear/Renewable
Mauritius,0.07,Nuclear/Renewable
Namibia,0.3,Nuclear/Renewable
New Caledonia,0.05,Nuclear/Renewable
Equatorial Guinea,0.08,Nuclear/Renewable
Uganda,0.34,Nuclear/Renewable
Benin,0.04,Nuclear/Renewable
Macedonia,0.19,Nuclear/Renewable
Congo,0.12,Nuclear/Renewable
Nicaragua,0.25,Nuclear/Renewable
Botswana,0.03,Nuclear/Renewable
Papua New Guinea,0.08,Nuclear/Renewable
Cyprus,0.03,Nuclear/Renewable
Moldova,0.05,Nuclear/Renewable
Albania,0.44,Nuclear/Renewable
Jamaica,0.05,Nuclear/Renewable
Malta,0.03,Nuclear/Renewable
El Salvador,0.31,Nuclear/Renewable
Dem. Rep. Congo,0.67,Nuclear/Renewable
Senegal,0.04,Nuclear/Renewable
Yemen,0.01,Nuclear/Renewable
Zimbabwe,0.27,Nuclear/Renewable
Nepal,0.32,Nuclear/Renewable
Lithuania,0.35,Nuclear/Renewable
Cambodia,0.18,Nuclear/Renewable
Cameroon,0.28,Nuclear/Renewable
Armenia,0.3,Nuclear/Renewable
Zambia,0.62,Nuclear/Renewable
Brunei ,0,Nuclear/Renewable
Honduras,0.29,Nuclear/Renewable
Afghanistan,0.17,Nuclear/Renewable
Côte d'Ivoire,0.05,Nuclear/Renewable
Luxembourg,0.14,Nuclear/Renewable
Iceland,0.79,Nuclear/Renewable
Mongolia,0.04,Nuclear/Renewable
Tajikistan,0.68,Nuclear/Renewable
Gibraltar,0,Nuclear/Renewable
Costa Rica,0.48,Nuclear/Renewable
Latvia,0.26,Nuclear/Renewable
Uruguay,0.54,Nuclear/Renewable
Kyrgyzstan,0.52,Nuclear/Renewable
Georgia,0.37,Nuclear/Renewable
Puerto Rico,0.01,Nuclear/Renewable
Bosnia and Herzegovina,0.08,Nuclear/Renewable
Ghana,0.19,Nuclear/Renewable
Tanzania,0.08,Nuclear/Renewable
Kenya,0.23,Nuclear/Renewable
Guatemala,0.25,Nuclear/Renewable
Slovenia,0.35,Nuclear/Renewable
Mozambique,0.45,Nuclear/Renewable
Croatia,0.26,Nuclear/Renewable
Dominican Republic,0.08,Nuclear/Renewable
Ethiopia,0.39,Nuclear/Renewable
Bolivia,0.07,Nuclear/Renewable
Lebanon,0.01,Nuclear/Renewable
North Korea,0.33,Nuclear/Renewable
Sudan,0.23,Nuclear/Renewable
Angola,0.2,Nuclear/Renewable
Syria,0.01,Nuclear/Renewable
Sri Lanka,0.11,Nuclear/Renewable
Panama,0.16,Nuclear/Renewable
Paraguay,0.77,Nuclear/Renewable
Jordan,0.03,Nuclear/Renewable
Tunisia,0.01,Nuclear/Renewable
Myanmar,0.21,Nuclear/Renewable
Cuba,0.02,Nuclear/Renewable
Laos,0.24,Nuclear/Renewable
Ireland,0.13,Nuclear/Renewable
Libya,0,Nuclear/Renewable
Azerbaijan,0.02,Nuclear/Renewable
Ecuador,0.26,Nuclear/Renewable
Morocco,0.08,Nuclear/Renewable
Bulgaria,0.26,Nuclear/Renewable
Slovakia,0.34,Nuclear/Renewable
Denmark,0.3,Nuclear/Renewable
New Zealand,0.36,Nuclear/Renewable
Trinidad and Tobago,0,Nuclear/Renewable
Serbia,0.17,Nuclear/Renewable
Bahrain,0,Nuclear/Renewable
Israel,0,Nuclear/Renewable
Hungary,0.22,Nuclear/Renewable
Belarus,0.02,Nuclear/Renewable
Hong Kong,0.03,Nuclear/Renewable
Greece,0.13,Nuclear/Renewable
Oman,0,Nuclear/Renewable
Portugal,0.18,Nuclear/Renewable
Finland,0.48,Nuclear/Renewable
Peru,0.26,Nuclear/Renewable
Switzerland,0.49,Nuclear/Renewable
Nigeria,0.03,Nuclear/Renewable
Austria,0.34,Nuclear/Renewable
Chile,0.21,Nuclear/Renewable
Romania,0.25,Nuclear/Renewable
Bangladesh,0.01,Nuclear/Renewable
Uzbekistan,0.04,Nuclear/Renewable
Colombia,0.28,Nuclear/Renewable
Czech Republic,0.19,Nuclear/Renewable
Kuwait,0,Nuclear/Renewable
Turkmenistan,0,Nuclear/Renewable
Venezuela,0.24,Nuclear/Renewable
Sweden,0.66,Nuclear/Renewable
Qatar,0,Nuclear/Renewable
Iraq,0.03,Nuclear/Renewable
Philippines,0.12,Nuclear/Renewable
Algeria,0.01,Nuclear/Renewable
Belgium,0.22,Nuclear/Renewable
Norway,0.68,Nuclear/Renewable
Pakistan,0.13,Nuclear/Renewable
Vietnam,0.2,Nuclear/Renewable
Italy,0.16,Nuclear/Renewable
Indonesia,0.04,Nuclear/Renewable
United Kingdom,0.2,Nuclear/Renewable
Mexico,0.08,Nuclear/Renewable
Saudi Arabia,0,Nuclear/Renewable
Brazil,0.36,Nuclear/Renewable
France,0.46,Nuclear/Renewable
South Korea,0.12,Nuclear/Renewable
Iran,0.02,Nuclear/Renewable
Germany,0.19,Nuclear/Renewable
Canada,0.32,Nuclear/Renewable
Russia,0.11,Nuclear/Renewable
United States,0.19,Nuclear/Renewable
Japan,0.1,Nuclear/Renewable
India,0.09,Nuclear/Renewable
Antigua and Barbuda,0.03,Nuclear/Renewable
