name,energy,energy_source,,,,,
Ireland,6.39E+11,Oil,,,,,
Libya,5.72E+11,Oil,,,,,
Azerbaijan,5.94E+11,Oil,,,,,
Ecuador,7.15E+11,Oil,,,,,
Morocco,8.19E+11,Oil,,,,,
Bulgaria,7.74E+11,Oil,,,,,
Slovakia,7.26E+11,Oil,,,,,
Denmark,7.37E+11,Oil,,,,,
New Zealand,9.02E+11,Oil,,,,,
Trinidad and Tobago,9.04E+11,Oil,,,,,
Serbia,6.42E+11,Oil,,,,,
Bahrain,7.20E+11,Oil,,,,,
Israel,1.05E+12,Oil,,,,,
Hungary,1.04E+12,Oil,,,,,
Belarus,9.61E+11,Oil,,,,,
Hong Kong,1.32E+12,Oil,,,,,
Greece,1.16E+12,Oil,,,,,
Oman,1.14E+12,Oil,,,,,
Portugal,1.08E+12,Oil,,,,,
Finland,1.23E+12,Oil,,,,,
Peru,1.12E+12,Oil,,,,,
Switzerland,1.17E+12,Oil,,,,,
Nigeria,1.54E+12,Oil,,,,,
Austria,1.50E+12,Oil,,,,,
Chile,1.50E+12,Oil,,,,,
Romania,1.41E+12,Oil,,,,,
Bangladesh,1.42E+12,Oil,,,,,
Uzbekistan,1.80E+12,Oil,,,,,
Colombia,1.66E+12,Oil,,,,,
Czech Republic,1.75E+12,Oil,,,,,
Kuwait,1.59E+12,Oil,,,,,
Turkmenistan,1.75E+12,Oil,,,,,
Venezuela,2.49E+12,Oil,,,,,
Sweden,2.22E+12,Oil,,,,,
Qatar,2.16E+12,Oil,,,,,
Iraq,1.87E+12,Oil,,,,,
Philippines,1.83E+12,Oil,,,,,
Algeria,2.40E+12,Oil,,,,,
Belgium,2.68E+12,Oil,,,,,
Norway,1.90E+12,Oil,,,,,
Pakistan,3.18E+12,Oil,,,,,
Vietnam,3.24E+12,Oil,,,,,
Italy,6.77E+12,Oil,,,,,
Indonesia,7.16E+12,Oil,,,,,
United Kingdom,8.19E+12,Oil,,,,,
Mexico,7.87E+12,Oil,,,,,
Saudi Arabia,1.10E+13,Oil,,,,,
Brazil,1.26E+13,Oil,,,,,
France,1.02E+13,Oil,,,,,
South Korea,1.27E+13,Oil,,,,,
Iran,1.16E+13,Oil,,,,,
Germany,1.41E+13,Oil,,,,,
Canada,1.51E+13,Oil,,,,,
Russia,3.28E+13,Oil,,,,,
United States,9.77E+13,Oil,,,,,
Japan,1.94E+13,Oil,,,,,
India,3.05E+13,Oil,,,,,
