name,energy,energy_source,,,,,
Maldives,247044260,Nuclear/Renewable,,,,,
Aruba,1056378660,Nuclear/Renewable,,,,,
Guadeloupe,1966686190,Nuclear/Renewable,,,,,
Malawi,17891348670,Nuclear/Renewable,,,,,
Barbados,990546240,Nuclear/Renewable,,,,,
Guyana,301658670,Nuclear/Renewable,,,,,
Niger,2401719880,Nuclear/Renewable,,,,,
Guam,837255000,Nuclear/Renewable,,,,,
Martinique,723510760,Nuclear/Renewable,,,,,
Fiji,5053126520,Nuclear/Renewable,,,,,
U.S. Virgin Islands,0,Nuclear/Renewable,,,,,
Suriname,9663248250,Nuclear/Renewable,,,,,
Togo,6577293280,Nuclear/Renewable,,,,,
Montenegro,13917037760,Nuclear/Renewable,,,,,
Mauritania,3937896200,Nuclear/Renewable,,,,,
Bahamas,428538490,Nuclear/Renewable,,,,,
Guinea,10592336920,Nuclear/Renewable,,,,,
Réunion,9852272850,Nuclear/Renewable,,,,,
Haiti,481631700,Nuclear/Renewable,,,,,
Madagascar,8698340000,Nuclear/Renewable,,,,,
Mali,13318935080,Nuclear/Renewable,,,,,
Burkina Faso,3953311520,Nuclear/Renewable,,,,,
State of Palestine,19780181100,Nuclear/Renewable,,,,,
Gabon,8889608650,Nuclear/Renewable,,,,,
Macao,13144281480,Nuclear/Renewable,,,,,
Bhutan,54541383170,Nuclear/Renewable,,,,,
Estonia,9656412150,Nuclear/Renewable,,,,,
Mauritius,6305344080,Nuclear/Renewable,,,,,
Namibia,23930276100,Nuclear/Renewable,,,,,
New Caledonia,3924250550,Nuclear/Renewable,,,,,
Equatorial Guinea,4784892000,Nuclear/Renewable,,,,,
Uganda,33041467580,Nuclear/Renewable,,,,,
Benin,3887264280,Nuclear/Renewable,,,,,
Macedonia,19001140000,Nuclear/Renewable,,,,,
Congo,11474630760,Nuclear/Renewable,,,,,
Nicaragua,24668972000,Nuclear/Renewable,,,,,
Botswana,2881079130,Nuclear/Renewable,,,,,
Papua New Guinea,7480077120,Nuclear/Renewable,,,,,
Cyprus,3515880000,Nuclear/Renewable,,,,,
Moldova,6400900000,Nuclear/Renewable,,,,,
Albania,49210920000,Nuclear/Renewable,,,,,
Jamaica,6406550000,Nuclear/Renewable,,,,,
Malta,3855960000,Nuclear/Renewable,,,,,
El Salvador,41005870000,Nuclear/Renewable,,,,,
Dem. Rep. Congo,88484220000,Nuclear/Renewable,,,,,
Senegal,5228280000,Nuclear/Renewable,,,,,
Yemen,1384970000,Nuclear/Renewable,,,,,
Zimbabwe,42782580000,Nuclear/Renewable,,,,,
Nepal,51591040000,Nuclear/Renewable,,,,,
Lithuania,52794000000,Nuclear/Renewable,,,,,
Cambodia,30365640000,Nuclear/Renewable,,,,,
Cameroon,41384280000,Nuclear/Renewable,,,,,
Armenia,44561100000,Nuclear/Renewable,,,,,
Zambia,1.10E+11,Nuclear/Renewable,,,,,
Brunei ,0,Nuclear/Renewable,,,,,
Honduras,49706000000,Nuclear/Renewable,,,,,
Afghanistan,24597980000,Nuclear/Renewable,,,,,
Côte d'Ivoire,8938700000,Nuclear/Renewable,,,,,
Luxembourg,25682440000,Nuclear/Renewable,,,,,
Iceland,1.75E+11,Nuclear/Renewable,,,,,
Mongolia,8619760000,Nuclear/Renewable,,,,,
Tajikistan,1.53E+11,Nuclear/Renewable,,,,,
Gibraltar,0,Nuclear/Renewable,,,,,
Costa Rica,1.03E+11,Nuclear/Renewable,,,,,
Latvia,48754160000,Nuclear/Renewable,,,,,
Uruguay,1.18E+11,Nuclear/Renewable,,,,,
Kyrgyzstan,1.26E+11,Nuclear/Renewable,,,,,
Georgia,91120270000,Nuclear/Renewable,,,,,
Puerto Rico,2644980000,Nuclear/Renewable,,,,,
Bosnia and Herzegovina,20140320000,Nuclear/Renewable,,,,,
Ghana,52007560000,Nuclear/Renewable,,,,,
Tanzania,22991280000,Nuclear/Renewable,,,,,
Kenya,74119340000,Nuclear/Renewable,,,,,
Guatemala,79117000000,Nuclear/Renewable,,,,,
Slovenia,99369550000,Nuclear/Renewable,,,,,
Mozambique,1.30E+11,Nuclear/Renewable,,,,,
Croatia,91178100000,Nuclear/Renewable,,,,,
Dominican Republic,27237040000,Nuclear/Renewable,,,,,
Ethiopia,1.26E+11,Nuclear/Renewable,,,,,
Bolivia,24034780000,Nuclear/Renewable,,,,,
Lebanon,3757870000,Nuclear/Renewable,,,,,
North Korea,1.09E+11,Nuclear/Renewable,,,,,
Sudan,84709920000,Nuclear/Renewable,,,,,
Angola,72560600000,Nuclear/Renewable,,,,,
Syria,3946080000,Nuclear/Renewable,,,,,
Sri Lanka,42176200000,Nuclear/Renewable,,,,,
Panama,70289440000,Nuclear/Renewable,,,,,
Paraguay,3.99E+11,Nuclear/Renewable,,,,,
Jordan,12932070000,Nuclear/Renewable,,,,,
Tunisia,4084670000,Nuclear/Renewable,,,,,
Myanmar,1.09E+11,Nuclear/Renewable,,,,,
Cuba,8029860000,Nuclear/Renewable,,,,,
Laos,97273440000,Nuclear/Renewable,,,,,
Ireland,83019300000,Nuclear/Renewable,,,,,
Libya,0,Nuclear/Renewable,,,,,
Azerbaijan,11881660000,Nuclear/Renewable,,,,,
Ecuador,1.86E+11,Nuclear/Renewable,,,,,
Morocco,65554720000,Nuclear/Renewable,,,,,
Bulgaria,2.01E+11,Nuclear/Renewable,,,,,
Slovakia,2.47E+11,Nuclear/Renewable,,,,,
Denmark,2.21E+11,Nuclear/Renewable,,,,,
New Zealand,3.25E+11,Nuclear/Renewable,,,,,
Trinidad and Tobago,0,Nuclear/Renewable,,,,,
Serbia,1.09E+11,Nuclear/Renewable,,,,,
Bahrain,0,Nuclear/Renewable,,,,,
Israel,0,Nuclear/Renewable,,,,,
Hungary,2.29E+11,Nuclear/Renewable,,,,,
Belarus,19226260000,Nuclear/Renewable,,,,,
Hong Kong,39662700000,Nuclear/Renewable,,,,,
Greece,1.51E+11,Nuclear/Renewable,,,,,
Oman,0,Nuclear/Renewable,,,,,
Portugal,1.94E+11,Nuclear/Renewable,,,,,
Finland,5.89E+11,Nuclear/Renewable,,,,,
Peru,2.91E+11,Nuclear/Renewable,,,,,
Switzerland,5.74E+11,Nuclear/Renewable,,,,,
Nigeria,46207800000,Nuclear/Renewable,,,,,
Austria,5.11E+11,Nuclear/Renewable,,,,,
Chile,3.14E+11,Nuclear/Renewable,,,,,
Romania,3.53E+11,Nuclear/Renewable,,,,,
Bangladesh,14173600000,Nuclear/Renewable,,,,,
Uzbekistan,71930000000,Nuclear/Renewable,,,,,
Colombia,4.65E+11,Nuclear/Renewable,,,,,
Czech Republic,3.33E+11,Nuclear/Renewable,,,,,
Kuwait,0,Nuclear/Renewable,,,,,
Turkmenistan,0,Nuclear/Renewable,,,,,
Venezuela,5.98E+11,Nuclear/Renewable,,,,,
Sweden,1.46E+12,Nuclear/Renewable,,,,,
Qatar,0,Nuclear/Renewable,,,,,
Iraq,55976700000,Nuclear/Renewable,,,,,
Philippines,2.20E+11,Nuclear/Renewable,,,,,
Algeria,23984500000,Nuclear/Renewable,,,,,
Belgium,5.91E+11,Nuclear/Renewable,,,,,
Norway,1.29E+12,Nuclear/Renewable,,,,,
Pakistan,4.14E+11,Nuclear/Renewable,,,,,
Vietnam,6.49E+11,Nuclear/Renewable,,,,,
Italy,1.08E+12,Nuclear/Renewable,,,,,
Indonesia,2.86E+11,Nuclear/Renewable,,,,,
United Kingdom,1.64E+12,Nuclear/Renewable,,,,,
Mexico,6.30E+11,Nuclear/Renewable,,,,,
Saudi Arabia,0,Nuclear/Renewable,,,,,
Brazil,4.52E+12,Nuclear/Renewable,,,,,
France,4.71E+12,Nuclear/Renewable,,,,,
South Korea,1.52E+12,Nuclear/Renewable,,,,,
Iran,2.32E+11,Nuclear/Renewable,,,,,
Germany,2.67E+12,Nuclear/Renewable,,,,,
Canada,4.82E+12,Nuclear/Renewable,,,,,
Russia,3.61E+12,Nuclear/Renewable,,,,,
United States,1.86E+13,Nuclear/Renewable,,,,,
Japan,1.94E+12,Nuclear/Renewable,,,,,
India,2.74E+12,Nuclear/Renewable,,,,,
Antigua and Barbuda,318158340,Nuclear/Renewable,,,,,
